"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Apr 05 23:14:38 GMT 2025","Sat Apr 05 23:14:43 GMT 2025","4668","firefox","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sat Apr 05 23:14:45 GMT 2025","Sat Apr 05 23:14:49 GMT 2025","4317","firefox","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sat Apr 05 23:14:51 GMT 2025","Sat Apr 05 23:14:55 GMT 2025","4161","webkit","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sat Apr 05 23:14:09 GMT 2025","Sat Apr 05 23:14:10 GMT 2025","1590","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalidEmail show validation message",""
"passed","Sat Apr 05 23:14:56 GMT 2025","Sat Apr 05 23:14:59 GMT 2025","2974","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalidEmail show validation message",""
"passed","Sat Apr 05 23:14:20 GMT 2025","Sat Apr 05 23:14:23 GMT 2025","2717","firefox","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sat Apr 05 23:14:06 GMT 2025","Sat Apr 05 23:14:08 GMT 2025","1962","chromium","contactForm.spec.ts","","","","submitting the Contact Form with empty required fields show validation message",""
"passed","Sat Apr 05 23:14:10 GMT 2025","Sat Apr 05 23:14:12 GMT 2025","1711","chromium","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sat Apr 05 23:14:23 GMT 2025","Sat Apr 05 23:14:25 GMT 2025","1705","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalidEmail show validation message",""
"passed","Sat Apr 05 23:14:59 GMT 2025","Sat Apr 05 23:15:02 GMT 2025","3218","webkit","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
"passed","Sat Apr 05 23:14:12 GMT 2025","Sat Apr 05 23:14:15 GMT 2025","3353","chromium","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sat Apr 05 23:15:08 GMT 2025","Sat Apr 05 23:15:12 GMT 2025","4481","webkit","contactForm.spec.ts","","","","submitting contact form by automation with valida data is blocked by reCAPTCHA",""
"passed","Sat Apr 05 23:14:15 GMT 2025","Sat Apr 05 23:14:19 GMT 2025","4146","chromium","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sat Apr 05 23:15:12 GMT 2025","Sat Apr 05 23:15:23 GMT 2025","10677","webkit","navigation.spec.ts","","","","navigating to the Leadership page show all founders",""
"passed","Sat Apr 05 23:14:25 GMT 2025","Sat Apr 05 23:14:27 GMT 2025","1839","firefox","contactForm.spec.ts","","","","submitting the Contact Form with invalid phone number show validation message",""
